name,summary,causes,symptoms,home_care,alternative_names
Transverse myelitis,"Transverse myelitis is a condition caused by inflammation of the spinal cord. As a result, the covering (myelin sheath) around the nerve cells is damaged. This disturbs the signals between spinal nerves and rest of the body.","Transverse myelitis is a rare nervous system disorder. In many cases, the cause is unknown. However, certain conditions may lead to transverse myelitis: Bacterial, viral, parasitic, or fungal infection, such as HIV , syphilis , varicella zoster ( shingles ), West Nile virus, Zika virus , enteroviruses, and Lyme disease Immune system disorders, such as multiple sclerosis (MS) , Sjögren syndrome , and lupus Other inflammatory disorders, such as sarcoidosis , or a connective tissue disease called scleroderma Blood vessel disorders that affect the spine Transverse myelitis affects men and women of all ages and races.","Symptoms of transverse myelitis may develop within a few hours or days. Or, they may develop over 1 to 4 weeks. Symptoms can quickly become severe. Symptoms tend to occur at or below the damaged area of the spinal cord. Both sides of the body are often affected, but sometimes only one side is affected. Symptoms include: Abnormal sensations: Numbness Pricking Tingling Coldness Burning Sensitivity to touch or temperature Bowel and bladder symptoms: Constipation Inability to urinate Frequent need to urinate Difficulty holding urine Urine leakage (incontinence) Pain: Sharp or blunt May start in your lower back May shoot down your arms and legs or wrap around your trunk or chest Muscle weakness: Loss of balance Difficulty walking (stumbling or dragging your feet) Partial loss of function, which may develop into paralysis Sexual dysfunction: Difficulty having an orgasm (men and women) Erectile dysfunction in men Other symptoms can include loss of appetite, fever, and respiratory problems. Depression and anxiety can occur as a result of dealing with chronic pain and illness.",,TM; Acute transverse myelitis; Secondary transverse myelitis; Idiopathic transverse myelitis
Traumatic amputation,"Traumatic amputation is the loss of a body part, usually a finger, toe, arm, or leg, that occurs as the result of an accident or injury.","Traumatic amputations usually result from factory, farm, power tool accidents, or from motor vehicle accidents. Natural disasters, war, and terrorist attacks can also cause traumatic amputations.","Symptoms may include: Bleeding (may be minimal or severe, depending on the location and nature of the injury) Pain (the degree of pain is not always related to the severity of the injury or the amount of bleeding) Crushed body tissue (badly mangled, but still partially attached by muscle, bone, tendon, or skin)",,Loss of a body part
Traumatic brain injury,"A traumatic brain injury (TBI) can occur when the head hits an object, or a moving object strikes the head. There are three types of TBI:","TBIs can be caused by: Falls Sports injuries Vehicular accidents Assaults Penetrating injuries to the skull, such as from a gunshot or other trauma can cause moderate to severe TBIs. A big movement of the brain (called jarring) in any direction can cause a person to lose alertness (become unconscious). This movement can cause: The brain to bounce or twist around in the skull Chemical changes in the brain Damage to brain cells How long the person stays unconscious may be a sign of how bad the TBI is. Watch this video about: Concussion","TBI symptoms can change during recovery and are different for each person. Some symptoms may not occur right away and show up a few days or weeks later. Symptoms of a milder TBI or concussion can include: Acting somewhat confused, feeling unable to concentrate, or not thinking clearly Being drowsy, hard to wake up, or similar changes Headache Loss of consciousness for a fairly short period of time Memory loss ( amnesia ) of events before the injury or right after Nausea and vomiting Seeing flashing lights, light sensitivity Feeling like you have ""lost time"" Sleep abnormalities Mild TBIs do not always lead to loss of consciousness. Most people never pass out. They may describe seeing all white, all black, or stars. A person can also have a mild TBI and not realize it. The following are emergency symptoms of a more severe TBI. Seek medical care right away if there are: Changes in alertness and consciousness Confusion that does not go away Seizures Muscle weakness on one or both sides of the body Pupils of the eyes that are not equal in size Symptoms in just one eye Unusual eye movements Repeated vomiting Walking or balance problems Unconsciousness for a longer period of time or that continues (coma) Head injuries that cause a TBI often occur with injury to the neck and spine. Take special care when moving people who have had a head injury .",,Concussion; Brain injury - concussion; Traumatic brain injury - concussion; Closed head injury - concussion
Traumatic injury of the bladder and urethra,Traumatic injury of the bladder and urethra involves damage caused by an outside force.,"Types of bladder injuries include: Blunt trauma (such as a blow to the body) Penetrating wounds (such as bullet or stab wounds) The amount of injury to the bladder depends on: How full the bladder was at the time of injury What caused the injury Injury to the bladder due to trauma is not very common. The bladder is located within the bones of the pelvis. This protects it from most outside forces. Injury may occur if there is a blow to the pelvis severe enough to break the bones. In this case, bone fragments may pierce the bladder wall. Less than 1 in 10 pelvic fractures lead to bladder injury. Other causes of bladder or urethra injury include: Surgeries of the pelvis or groin (such as hernia repair and removal of the uterus ). Tears, cuts, bruises, and other injuries to the urethra. The urethra is the tube that carries urine out of the body. This is more common in men than women. Straddle injuries. This injury may occur if there is direct force that injures the area behind the scrotum. Deceleration injury. This injury may occur during a motor vehicle accident. Your bladder can get injured if it is full and you are wearing a seatbelt. Injury to the bladder or urethra may cause urine to leak into the abdomen. This may lead to infection .","Some common symptoms are: Lower abdominal pain Abdominal tenderness Bruising at the site of injury Blood in the urine Bloody urethral discharge Difficulty beginning to urinate or inability to empty the bladder Leakage of urine Painful urination Pelvic pain Small, weak urine stream Abdominal distention or bloating Shock or internal bleeding may occur after a bladder injury. This is a medical emergency. Symptoms include: Decreased alertness , drowsiness , coma Increased heart rate Decrease in blood pressure Pale skin Sweating Skin that is cool to the touch If there is no or little urine released, there may be an increased risk for urinary tract infections (UTI) or kidney damage.",,Injury - bladder and urethra; Bruised bladder; Urethral injury; Bladder injury; Pelvic fracture; Urethral disruption; Bladder perforation
Traveler's diarrhea diet,"Traveler's diarrhea causes loose, watery stools. People can get traveler's diarrhea when they visit places where the water is not clean or the food is not handled safely. This can include developing countries in Latin America, Africa, the Middle East, and Asia.",,,,Diet - traveler's diarrhea; Diarrhea - traveler's - diet; Gastroenteritis - traveler's
Traveler's guide to avoiding infectious diseases,"You can stay healthy during travel by taking the right steps to protect yourself before you go. You can also do things to help prevent disease while you are traveling. Most infections you catch while traveling are minor. In rare cases, however, they can be severe, or even deadly.",,,,
Traveling with children,"Traveling with children presents special challenges. It disrupts familiar routines and imposes new demands. Planning ahead, and involving children in the planning, may lessen the stress of travel.",,,,Ear pain - flying; Ear pain - airplane
Trazodone overdose,"Trazodone is an antidepressant medicine. Sometimes, it is used as a sleep aid and to treat agitation in people with dementia. Trazodone overdose occurs when someone takes more than the normal or recommended amount of this medicine, either by accident or on purpose.",,"Below are symptoms of an overdose of trazodone in different parts of the body. AIRWAYS AND LUNGS Difficulty breathing Stopped breathing HEART AND BLOOD VESSELS Chest pain Irregular heartbeat Low blood pressure, sometimes leading to fainting Slow heart rate NERVOUS SYSTEM Coma (lack of responsiveness) Dizziness Drowsiness Headache Insomnia Seizures Lack of coordination Tremor OTHER Abnormal erection that lasts for more than 4 hours and can cause permanent damage to the penis (priapism).",Seek medical help right away. Call the poison control center. Do NOT make the person throw up unless the poison control center or a health care provider tells you to.,Trazadone hydrochloride
Treacher Collins syndrome,Treacher Collins syndrome is a genetic condition that leads to problems with the structure of the face. Most cases are not passed down through families.,"Changes to one of three genes, TCOF1 , POLR1C , or POLR1D , can lead to Treacher Collins syndrome. The condition can be passed down through families (inherited). However, most of the time, there is not another affected family member. This condition may vary in severity from generation to generation and from person to person.",Symptoms may include: Outer part of the ears are abnormal or almost completely missing Hearing loss Very small jaw ( micrognathia ) Very large mouth Defect in the lower eyelid Scalp hair that reaches to the cheeks Cleft palate,,Mandibulofacial dysostosis; Treacher Collins-Franceschetti syndrome
Tremor,"A tremor is a type of shaking movement. A tremor is most often noticed in the hands and arms. It may affect any body part, including the head, tongue, or vocal cords.","A tremor may be caused by: Certain medicines Brain, nerve, or movement disorders (such as Parkinson disease ), including uncontrolled muscle movements ( dystonia ) Brain tumor Alcohol use or alcohol withdrawal Multiple sclerosis Muscle tiredness or weakness Normal aging Overactive thyroid Stress, anxiety, or fatigue Stroke Too much coffee or other caffeinated drink or food",,"Your provider will likely suggest self-care measures to help with daily life. For tremors caused by stress, try ways to relax, such as meditation or breathing exercises. For tremors of any cause, avoid caffeine and get enough sleep. For tremors caused by a medicine, talk to your provider about stopping the medicine, reducing the dosage, or switching to another medicine. Do not change or stop medicines on your own. For tremors caused by alcohol use, seek treatment to help you stop drinking alcohol . Severe tremors may make it hard to do daily activities. You may need help with these activities. Devices that may help include: Buy clothes with Velcro fasteners instead of buttons or hooks. Cook or eat with utensils that have larger handles that are easier to grip. Drink from half-filled cups or use sippy cups to avoid spilling. Use straws to drink so you do not have to pick up your glass. Wear slip-on shoes and use shoehorns. Wear a heavier bracelet or watch. It may reduce a hand or arm tremor.",Shaking; Tremor - hand; Hand tremor; Tremor - arms; Kinetic tremor; Intention tremor; Postural tremor; Essential tremor
Trench mouth,"Trench mouth is an infection that causes swelling (inflammation) and ulcers in the gums (gingivae). The term trench mouth comes from World War I, when this infection was common among soldiers ""in the trenches.""","Trench mouth is a painful form of gum swelling ( gingivitis ). The mouth normally contains a balance of different bacteria. Trench mouth occurs when there is too much pathologic bacteria. The gums become infected and develop painful ulcers . Viruses may be involved in allowing the bacteria to grow too much. Things that increase your risk of trench mouth include: Emotional stress (such as studying for exams) Poor oral hygiene Poor nutrition Smoking Weak immune system Throat, tooth, or mouth infections Trench mouth is rare. When it does occur, it most often affects people ages 15 to 35.",Symptoms of trench mouth often begin suddenly. They include: Bad breath Crater-like ulcers between the teeth Fever Foul taste in the mouth Gums appear red and swollen Grayish film on the gums Painful gums Severe gum bleeding in response to any pressure or irritation,,Vincent's stomatitis; Acute necrotizing ulcerative gingivitis (ANUG); Vincent disease
Trichinosis,Trichinosis is an infection with the roundworm Trichinella spiralis.,"Trichinosis is a parasitic disease caused by eating meat that has not been thoroughly cooked and contains cysts (larvae, or immature worms) of Trichinella spiralis . This parasite can be found in pig, bear, walrus, fox, rat, horse, and lion. Wild animals, especially carnivores (meat eaters) or omnivores (animals that eat both meat and plants), should be considered possible sources of roundworm disease. Domestic meat animals raised specifically for eating under US Department of Agriculture (government) guidelines and inspection can be considered safe. For this reason, trichinosis is rare in the United States, but it is a common infection worldwide. When a person eats meat from an infected animal, trichinella cysts break open in the intestine and grow into adult roundworms. The roundworms produce other worms that move through the gut wall and into the bloodstream. The worms invade muscle tissues, including the heart and diaphragm (the breathing muscle under the lungs). They can also infect the lungs and brain. The cysts can remain alive for years.","Symptoms of trichinosis include: Abdominal discomfort, cramping Diarrhea Facial swelling around the eyes Fever Muscle pain (especially muscle pain with breathing, chewing, or using large muscles) Muscle weakness",,Parasite infection - trichinosis; Trichiniasis; Trichinellosis; Roundworm - trichinosis
Trichomoniasis,Trichomoniasis is a sexually transmitted infection caused by the parasite Trichomonas vaginalis.,"Trichomoniasis (""trich"") is found worldwide. In the United States, most cases occur in women between ages 16 and 35. Trichomonas vaginalis is spread through sexual contact with an infected partner, either through penis-to-vagina intercourse or vulva-to-vulva contact. The parasite cannot survive in the mouth or rectum. The disease can affect both men and women, but the symptoms differ. The infection usually does not cause symptoms in men and goes away on its own in a few weeks.","Women may have these symptoms: Discomfort with intercourse Itching of the inner thighs Vaginal discharge (thin, greenish-yellow, frothy or foamy) Vaginal or vulvar itching , or swelling of the labia Vaginal odor (foul or strong smell) Men who have symptoms may have: Burning after urination or ejaculation Itching of urethra Slight discharge from urethra Occasionally, some men with trichomoniasis may develop: Swelling and irritation in the prostate gland ( prostatitis ). Swelling in the epididymis ( epididymitis ), the tube that connects the testicle with the vas deferens. The vas deferens connects the testicles to the urethra.",,Trichomonas vaginitis; STD - trichomonas vaginitis; STI - trichomonas vaginitis; Sexually transmitted infection - trichomonas vaginitis; Cervicitis - trichomonas vaginitis
Trichorrhexis nodosa,Trichorrhexis nodosa is a common hair problem in which thickened or weak points (nodes) along the hair shaft cause your hair to break off easily.,"Trichorrhexis nodosa can be an inherited condition. The condition may be triggered by things such as blow-drying, ironing the hair, over-brushing, perming, or excessive chemical use. In some cases, trichorrhexis nodosa is caused by an underlying disorder, including very rare ones, such as: Thyroid gland not making enough thyroid hormone ( hypothyroidism ) Buildup of ammonia in the body (argininosuccinic aciduria) Iron deficiency Menkes syndrome ( Menkes kinky hair syndrome ) Ectodermal dysplasia (a group of conditions in which there is abnormal development of the skin, hair, nails, teeth, or sweat glands Trichothiodystrophy (inherited disorder that causes brittle hair, skin problems, and intellectual disability) Biotin deficiency (inherited disorder in which the body is not able to use biotin, a substance needed for hair growth)","Your hair may break easily or it may appear like it is not growing. In African Americans, looking at the scalp area using a microscope shows that the hair breaks off at the scalp area before it grows long. In other people, the problem often appears at the end of a hair shaft in the form of split ends, thinning hair, and hair tips that look white.",,Hair shaft fracture; Brittle hair; Fragile hair; Hair breakage
Trichotillomania,"Trichotillomania is hair loss from repeated urges to pull or twist the hair until it breaks off. People are unable to stop this behavior, even as their hair becomes thinner.",Trichotillomania is a type of impulsive control disorder. Its causes are not clearly understood. It may affect as much as 4% of the population. Women are 4 times more likely to be affected than men.,"Symptoms most often begin before age 17. The hair may come out in round patches or across the scalp. The effect is an uneven appearance. The person may pluck other hairy areas, such as the eyebrows, eyelashes, or body hair. These symptoms are most often seen in children: An uneven appearance to the hair Bare patches or all around (diffuse) loss of hair Bowel blockage (obstruction) if people eat the hair they pull out Constant tugging, pulling, or twisting of hair Denying the hair pulling Hair regrowth that feels like stubble in the bare spots Increasing sense of tension before the hair pulling Other self-injury behaviors Sense of relief, pleasure, or gratification after the hair pulling Most people with this disorder also have problems with: Feeling sad or depressed Anxiety Poor self-image",,Trichotillosis; Compulsive hair pulling
Tricuspid atresia,"Tricuspid atresia is a type of heart disease that is present at birth (congenital heart disease), in which the tricuspid heart valve is missing or abnormally developed. The defect blocks blood flow from the right atrium to the right ventricle. Other heart or vessel defects are usually present at the same time.","Tricuspid atresia is an uncommon form of congenital heart disease. It affects about 5 in every 100,000 live births. One in five people with this condition will also have other heart problems. Normally, blood flows from the body into the right atrium, then through the tricuspid valve to the right ventricle and on to the lungs. If the tricuspid valve does not open, the blood cannot flow from the right atrium to the right ventricle. Because of the problem with the tricuspid valve, blood ultimately cannot enter the lungs. This is where it must go to pick up oxygen (becomes oxygenated). Instead, the blood passes through a hole between the right and left atrium. In the left atrium, it mixes with oxygen-rich blood returning from the lungs. This mix of oxygen-rich and oxygen-poor blood is then pumped out into the body from the left ventricle. This causes the oxygen level in the blood to be lower than normal. In people with tricuspid atresia, the lungs receive blood either through a hole between the right and left atria (described above), or through maintenance of a fetal vessel called the ductus arteriosus. The ductus arteriosus connects the pulmonary artery (artery to the lungs) to the aorta (main artery to the body). It is present when a baby is born, but normally closes by itself shortly after birth.",Symptoms include: Bluish color to the skin (cyanosis) due to low oxygen level in the blood Fast breathing Fatigue Poor growth Shortness of breath,,Tri atresia; Valve disorder - tricuspid atresia; Congenital heart - tricuspid atresia; Cyanotic heart disease - tricuspid atresia
Tricuspid regurgitation,"Blood that flows between different chambers of your heart must pass through a heart valve. These valves open up enough so that blood can flow through. They then close, keeping blood from flowing backward.","An increase in size of the right ventricle is the most common cause of this condition. The right ventricle pumps blood to the lungs where it picks up oxygen. Any condition that puts extra strain on this chamber can cause it to enlarge. Examples include: Abnormally high blood pressure in the arteries of the lungs (pulmonary hypertension) which can come from a lung problem (such as COPD, or a clot that has traveled to the lungs) Other heart problem such as poor squeezing of the left side of the heart Problem with the opening or closing of another one of the heart valves Tricuspid regurgitation may also be caused or worsened by infections, such as: Rheumatic fever Infection of the tricuspid heart valve, which causes damage to the valve Less common causes of tricuspid regurgitation include: A type of heart defect present at birth called Ebstein anomaly. Carcinoid tumors, which release a hormone that damages the valve. Marfan syndrome Rheumatoid arthritis. Radiation therapy. Past use of a diet pill called ""Fen-Phen"" (phentermine and fenfluramine) or dexfenfluramine. The drug was removed from the market in 1997.","Mild tricuspid regurgitation may not cause any symptoms. Symptoms of heart failure may occur, and can include: Active pulsing in the neck veins Decreased urine output Fatigue , tiredness General swelling Swelling of the abdomen Swelling of the feet and ankles Weakness",,Tricuspid insufficiency; Heart valve - tricuspid regurgitation; Valvular disease - tricuspid regurgitation
Trigeminal neuralgia,Trigeminal neuralgia (TN) is a nerve disorder. It causes a stabbing or electric shock-like pain in parts of the face.,"The pain of TN comes from the trigeminal nerve. This nerve carries the sensations of touch and pain from the face, eyes, sinuses, and mouth to the brain. TN may be caused by: Multiple sclerosis (MS) or other diseases that damage the protective covering myelin of the nerves Pressure on the trigeminal nerve from a swollen blood vessel or tumor Injury to the trigeminal nerve, such as from trauma to the face or from oral or sinus surgery Often, no exact cause is found. TN usually affects adults above age 50 years, but it can occur at any age. Women are affected more often than men. When TN affects people younger than 40, it is often due to MS or a tumor.","Symptoms may include any of the following: Very painful, sharp electric-like spasms that are usually brief. The spasms may occur close together such that it feels like they last from several seconds to minutes. Pain can become constant. Pain is usually only on one side of the face, often around the eye, cheek, and lower part of the face. There is usually no loss of sensation or movement of the affected part of the face. Pain may be triggered by touch or sounds. Painful attacks of TN can be triggered by common, everyday activities, such as: Talking Smiling Brushing teeth Chewing Drinking Eating Exposure to hot or cold temperature Touching the face Shaving Wind Applying make-up The right side of the face is mostly affected. In some cases, TN goes away on its own.",,Tic douloureux; Cranial neuralgia; Facial pain - trigeminal; Facial neuralgia; Trifacial neuralgia; Chronic pain - trigeminal; Microvascular decompression - trigeminal
Triglyceride level,The triglyceride level is a blood test to measure the amount of triglycerides in your blood. Triglycerides are a type of fat.,,,,Triacylglycerol test
Trisodium phosphate poisoning,"Trisodium phosphate is a strong chemical. Poisoning occurs if you swallow, breathe in, or spill large amounts of this substance on your skin.",,"Below are symptoms of trisodium phosphate poisoning or exposure in different parts of the body. AIRWAYS AND LUNGS Breathing difficulty (from inhaling trisodium phosphate) Coughing Throat swelling (which may also cause breathing difficulty) ESOPHAGUS, STOMACH AND INTESTINES Blood in the stool Burns of the esophagus (food pipe) and stomach Diarrhea Severe abdominal pain Vomiting, possibly bloody EYES, EARS, NOSE, AND THROAT Drooling Severe pain in the throat Severe pain or burning in the nose, eyes, ears, lips, or tongue Vision loss HEART AND BLOOD Low blood pressure (develops rapidly) Collapse Severe change in blood acid level Shock SKIN Burns Hives Holes in the skin or tissue under the skin Skin irritation","DO NOT make a person throw up. If the chemical is on the skin or in the eyes, flush with lots of water for at least 15 minutes. If the chemical was swallowed, give the person water or milk right away. DO NOT give water or milk if the person has symptoms that make it hard to swallow (such as vomiting or decreased alertness). If the person breathed in the poison, move them to fresh air right away.",Sodium orthophosphate poisoning; Trisodium orthophosphate poisoning; TSP poisoning
Trisomy 13,"Trisomy 13 (also called Patau syndrome) is a genetic disorder in which a person has 3 copies of genetic material from chromosome 13, instead of the usual 2 copies. Rarely, the extra material may be attached to another chromosome (translocation).","Trisomy 13 occurs when extra DNA from chromosome 13 appears in some or all of the body's cells. Trisomy 13: the presence of an extra (third) chromosome 13 in all of the cells. Mosaic trisomy 13: the presence of an extra chromosome 13 in some of the cells. Partial trisomy 13: the presence of a part of an extra chromosome 13 in the cells. The extra material interferes with normal development. Trisomy 13 occurs in about 1 out of every 10,000 newborns. Most cases are not passed down through families (inherited). Instead, the events that lead to trisomy 13 occur in either the sperm or the egg that forms the fetus.","Symptoms include: Cleft lip or palate Clenched hands (with outer fingers on top of the inner fingers) Close-set eyes -- eyes may actually fuse together into one Decreased muscle tone Extra fingers or toes ( polydactyly ) Hernias: umbilical hernia , inguinal hernia Hole, split, or cleft in the iris ( coloboma ) Low-set ears Intellectual disability , severe Scalp defects (missing skin) Seizures Single palmar crease Skeletal (limb) abnormalities Small eyes Small head ( microcephaly ) Small lower jaw ( micrognathia ) Undescended testicle ( cryptorchidism )",,Patau syndrome
Trisomy 18,"Trisomy 18 is a genetic disorder in which a person has a third copy of material from chromosome 18, instead of the usual 2 copies. Rarely, the extra material may be attached to another chromosome (translocation). Most cases are not passed down through families. Instead, the problems that lead to this condition occur in either the sperm or the egg that forms the fetus.","Trisomy 18 occurs in 1 in 6000 live births. It is 3 times more common in girls than boys. The syndrome occurs when there is extra material from chromosome 18. The extra material affects normal development. Trisomy 18: the presence of an extra (third) chromosome 18 in all of the cells. Mosaic trisomy 18: the presence of an extra chromosome 18 in some of the cells. Partial trisomy 18: the presence of a part of an extra chromosome 18 in the cells. Most cases of Trisomy 18 are not passed down through families (inherited). Instead, the events that lead to trisomy 18 occur in either the sperm or the egg that forms the fetus.",Symptoms may include: Clenched hands Crossed legs Feet with a rounded bottom (rocker-bottom feet) Low birth weight Low-set ears Mental delay Poorly developed fingernails Small head ( microcephaly ) Small jaw ( micrognathia ) Undescended testicle Unusual shaped chest ( pectus carinatum ),,Edwards syndrome
Tropical sprue,Tropical sprue is a condition that occurs in people who live in or visit tropical areas for extended periods of time. It impairs nutrients from being absorbed from the intestines.,This disease is caused by damage to the lining of the small intestine. It comes from having too much of certain types of bacteria in the intestines. Risk factors are: Living in the tropics Long periods of travel to tropical destinations,"Symptoms include: Abdominal cramps Diarrhea, worse on a high-fat diet Excess gas (flatus) Fatigue Fever Leg swelling Weight loss Symptoms may not appear for up to 10 years after leaving the tropics.",,
Troponin test,"A troponin test measures the levels of troponin T or troponin I proteins in the blood. These proteins are released when the heart muscle has been damaged, such as occurs with a heart attack. The more damage there is to the heart, the greater the amount of troponin T and I there will be in the blood.",,,,TroponinI; TnI; TroponinT; TnT; Cardiac-specific troponin I; Cardiac-specific troponin T; cTnl; cTnT
Truncus arteriosus,"Truncus arteriosus is a rare type of heart disease in which a single blood vessel (truncus arteriosus) comes out of the right and left ventricles, instead of the normal 2 vessels (pulmonary artery and aorta). It is present at birth (congenital heart disease).","In normal circulation, the pulmonary artery comes out of the right ventricle and the aorta comes out of the left ventricle, which are separate from each other. With truncus arteriosus, a single artery comes out of the ventricles. There is most often also a large hole between the 2 ventricles ( ventricular septal defect ). As a result, the blue (without oxygen) and red (oxygen-rich) blood mix. Some of this mixed blood goes to the lungs, and some goes to the rest of the body. Often, more blood than usual ends up going to the lungs. If this condition is not treated, two problems occur: Too much blood circulation in the lungs may cause extra fluid to build up in and around them. This makes it hard to breathe. If left untreated and more than normal blood flows to the lungs for a long time, the blood vessels to the lungs become permanently damaged. Over time, it becomes very hard for the heart to force blood through them. This is called pulmonary hypertension , which can be life threatening.",Symptoms include: Bluish color to the skin (cyanosis) due to low oxygen level in the blood Delayed growth or growth failure Fatigue Lethargy Poor feeding Rapid breathing (tachypnea) Shortness of breath (dyspnea) Widening of the finger tips (clubbing),,Truncus
Trypsin and chymotrypsin in stool,"Trypsin and chymotrypsin are substances released from the pancreas during normal digestion. When the pancreas does not produce enough trypsin and chymotrypsin, smaller-than-normal amounts can be seen in a stool sample.",,,,Stool - trypsin and chymotrypsin
Trypsinogen test,Trypsinogen is a substance that is normally produced in the pancreas and released into the small intestine. Trypsinogen is converted to trypsin. Then it starts the process needed to break down proteins into their building blocks (called amino acids).,,,,Serum trypsin; Trypsin-like immunoreactivity; Serum trypsinogen; Immunoreactive trypsin
Tryptophan,"Tryptophan is an amino acid needed for normal growth in infants and for the production and maintenance of the body's proteins, muscles, enzymes, and neurotransmitters. It is an essential amino acid. This means your body cannot produce it, so you must get it from your diet.",,,,
TSH test,A TSH test measures the amount of thyroid stimulating hormone (TSH) in your blood. TSH is produced by the pituitary gland. It prompts the thyroid gland to make and release thyroid hormones into the blood.,,,,Thyrotropin; Thyroid stimulating hormone; Hypothyroidism - TSH; Hyperthyroidism - TSH; Goiter - TSH
TSI test,TSI stands for thyroid stimulating immunoglobulin. TSIs are antibodies that tell the thyroid gland to become more active and release excess amounts of thyroid hormone into the blood. A TSI test measures the amount of thyroid stimulating immunoglobulin in your blood.,,,,TSH receptor stimulating antibody; Thyroid stimulating immunoglobulin; Hypothyroidism - TSI; Hyperthyroidism - TSI; Goiter - TSI; Thyroiditis - TSI
Tubal ligation,"Tubal ligation is surgery to close a woman's fallopian tubes. (It is sometimes called ""tying the tubes."") The fallopian tubes connect the ovaries to the uterus. A woman who has this surgery can no longer get pregnant. This means she is ""sterile.""",,,,Sterilization surgery - female; Tubal sterilization; Tube tying; Tying the tubes; Hysteroscopic tubal occlusion procedure; Contraception - tubal ligation; Family planning - tubal ligation
Tubal ligation reversal,Tubal ligation reversal is surgery done to allow a woman who has had her tubes tied (tubal ligation) to become pregnant again. The fallopian tubes are reconnected in this reversal surgery. A tubal ligation cannot always be reversed if there is too little tube left or if it is damaged.,,,,Tubal re-anastomosis surgery; Tuboplasty
Tubercle,"A tubercle is a small rounded point of a bone. Less often, it refers to a nodule attached to bone, mucous membrane (moist layer lining parts of the body), or skin.",,,,
Tuberous sclerosis,"Tuberous sclerosis is a genetic disorder that affects the skin, brain/nervous system, kidneys, heart, and lungs. The condition can also cause tumors to grow in the brain. These tumors have a tuber or root-shaped appearance.","Tuberous sclerosis is a genetic condition. Changes (non-working gene variants or mutations) in one of two genes, TSC1 and TSC2 , are responsible for most cases. Only one parent needs to pass on the non-working gene for the child to get the disease. However, two-thirds of cases are due to new gene changes. In most cases, there is no family history of tuberous sclerosis. This condition is one of a group of diseases called neurocutaneous syndromes. Both the skin and central nervous system (brain and spinal cord) are involved. There are no known risk factors, other than having a parent with tuberous sclerosis. In that case, each child has a 50% chance of inheriting the disease.","Skin symptoms include: Areas of the skin that are white (due to decreased pigment) and have either an ash leaf or confetti appearance Red patches on the face containing many blood vessels (facial angiofibromas) Raised patches of skin with an orange-peel texture (shagreen spots), often on the back Brain symptoms include: Autism spectrum disorders Developmental delays Intellectual disability Seizures Other symptoms include: Pitted tooth enamel. Rough growths under or around the fingernails and toenails. Rubbery noncancerous tumors on or around the tongue. Lung disease known as LAM (lymphangioleiomyomatosis). This is more common in women. In many cases, there are no symptoms. In other people, this can lead to shortness of breath, coughing blood, and lung collapse. A benign cardiac tumor known as a cardiac rhabdomyoma. This is common in children with tuberous sclerosis and can be seen on ultrasound before a baby is born. The symptoms vary from person to person. Some people have normal intelligence and no seizures. Others have intellectual disabilities or difficult-to-control seizures.",,Bourneville disease; Tuberous sclerosis complex (TSC)
Tularemia,"Tularemia is a bacterial infection in wild rodents. The bacteria are passed to humans through contact with tissue from the infected animal. The bacteria can also be passed by ticks, biting flies, and mosquitoes.","Tularemia is caused by the bacterium Francisella tularensis. Humans can get the disease through: A bite from an infected tick, horsefly, or mosquito Breathing in infected dirt or plant material Direct contact, through a break in the skin, with an infected animal or its dead body (most often a rabbit, muskrat, beaver, or squirrel) Eating infected meat (rare) The disorder most commonly occurs in North America and parts of Europe and Asia. In the United States, this disease is found more often in Missouri, South Dakota, Oklahoma, and Arkansas. Although outbreaks can occur in the United States, they are rare. Some people may develop pneumonia after breathing in infected dirt or plant material. This infection has been known to occur on Martha's Vineyard (Massachusetts), where bacteria are present in rabbits, raccoons, and skunks.","Symptoms develop 3 to 5 days after exposure. The illness usually starts suddenly. It may continue for several weeks after symptoms begin. Symptoms include: Fever, chills, sweating Eye irritation (called conjunctivitis , if the infection began in the eye) Headache Joint stiffness, muscle pain Red spot on the skin, growing to become a sore (ulcer) Shortness of breath Weight loss",,Deerfly fever; Rabbit fever; Pahvant Valley plague; Ohara disease; Yato-byo (Japan); Lemming fever
Tularemia blood test,Tularemia blood test checks for infection caused by bacteria called Francisella tularensis (F tularensis). The bacteria causes the disease tularemia.,,,,Tularemia test; Serology for Francisella tularensis
